Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
41014958,TAR FLAT,32,D,TXFR,,,,,left_only
41012495,ANITA,32,D,TXFR,,,,,left_only
41013691,ANITA,42,D,TXFR,,,,,left_only
41012493,ANITA,32,D,TXFR,,,,,left_only
41012863,CUYAMA,31,D,TXFR,,,,,left_only
41012864,CUYAMA,31,D,TXFR,,,,,left_only
41013325,LOS COCHES,31,D,TXFR,,,,,left_only
41012838,MENLO,33,D,TXFR,,,,,left_only
41014848,MAPLE,33,D,TXFR,,,,,left_only
41014940,TARAVAL,33,D,TXFR,,,,,left_only
41014695,HARDING,33,D,TXFR,,,,,left_only
41013805,PORTOLA,33,D,TXFR,,,,,left_only
41012014,ERTA,33,D,TXFR,,,,,left_only
41012553,BEACH STREET,32,D,TXFR,,,,,left_only
41012084,SAN CARLOS,33,D,TXFR,,,,,left_only
41014732,SAN CARLOS,33,D,TXFR,,,,,left_only
41014735,SAN CARLOS,33,D,TXFR,,,,,left_only
41014657,BELLE HAVEN,33,D,TXFR,,,,,left_only
41012556,BELLE HAVEN,33,D,TXFR,,,,,left_only
41012555,BELLE HAVEN,33,D,TXFR,,,,,left_only
41013373,MARSH,32,D,TXFR,,,,,left_only
41012821,CORDELIA,32,D,TXFR,,,,,left_only
41014717,MARSH,32,D,TXFR,,,,,left_only
41015244,CORDELIA,32,D,TXFR,,,,,left_only
41015243,CORDELIA,32,D,TXFR,,,,,left_only
41015242,CORDELIA,32,D,TXFR,,,,,left_only
41013425,ORLAND B,32,D,TXFR,,,,,left_only
41013988,RADUM,32,D,TXFR,,,,,left_only
41013981,RADUM,32,D,TXFR,,,,,left_only
41013982,RADUM,32,D,TXFR,,,,,left_only
41015023,WEIMAR,32,D,TXFR,,,,,left_only
41015022,WEIMAR,32,D,TXFR,,,,,left_only
41015021,WEIMAR,32,D,TXFR,,,,,left_only
41014290,WEIMAR,32,D,TXFR,,,,,left_only
41013638,PEACHTON,32,D,TXFR,,,,,left_only
41013640,PEACHTON,32,D,TXFR,,,,,left_only
41013639,PEACHTON,32,D,TXFR,,,,,left_only
41014961,TAR FLAT,32,D,TXFR,,,,,left_only
41015186,CALFLAX,41,D,TXFR,,,,,left_only
41013327,LOS COCHES,31,D,TXFR,,,,,left_only
41015086,BERESFORD,33,D,TXFR,,,,,left_only
41015316,HILLSDALE,32,D,TXFR,,,,,left_only
41012657,WEST POINT PH,32,D,TXFR,,,,,left_only
41013914,WEST POINT PH,32,D,TXFR,,,,,left_only
41012656,WEST POINT PH,32,D,TXFR,,,,,left_only
41013915,WEST POINT PH,32,D,TXFR,,,,,left_only
41013349,MADISON,33,D,TXFR,,,,,left_only
41013270,LAYTONVILLE,52,D,TXFR,,,,,left_only
41013576,NEW HOPE,42,D,TXFR,,,,,left_only
41012116,FITCH MTN,33,D,TXFR,,,,,left_only
41012315,JANES CREEK,33,D,TXFR,,,,,left_only
41014871,OROVILLE,33,D,TXFR,,,,,left_only
41014984,URICH,32,D,TXFR,,,,,left_only
41014982,URICH,32,D,TXFR,,,,,left_only
41014983,URICH,32,D,TXFR,TXFR,2026-03-17,,JIT,both
41014986,URICH,32,D,TXFR,,,,,left_only
41013823,RAWSON,32,D,TXFR,,,,,left_only
41013824,RAWSON,32,D,TXFR,,,,,left_only
41013825,RAWSON,32,D,TXFR,,,,,left_only
